SP_Hole_ID,From_Hole_Position,To_Hole_Position,SB_Box_Label,lith_test,F_ppm,Na_pct,Mg_pct,Al_pct,Si_pct,P_pct,S_pct,K_pct,Sc_ppm,Ti_ppm,V_ppm,Li_ppm,Be_ppm,Ca_pct,Cr_ppm,Mn_ppm,Fe_pct,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Ga_ppm,As_ppm,Se_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Ag_ppm,Cd_ppm,In_ppm,Sn_ppm,Sb_ppm,Te_ppm,Cs_ppm,Ba_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,W_ppm,Re_ppm,Tl_ppm,Pb_ppm,Bi_ppm,Th_ppm,U_ppm
GV003,202,203,61,2,18974.4442,0.31808,1.45998,4.86596,23.38906,0.16892,3.01916,2.5227,9.654,3189.868,91.0554,40.8372,1.9888,3.4705,112.6314,691.8172,7.21224,31.4156,32.0604,499.0554,915.7782,20.888,101.121,2.0548,272.988,294.6246,72.622,270.1882,29.2682,97.0384,1.0994,0.8732,0.1232,11.6784,41.6006,0.8352,3.5718,11013.3712,806.9794,1008.1156,78.204,213.059,25.2098,9.8428,17.4444,2.182,12.7698,2.5356,7.298,0.8842,5.9726,0.9392,7.5944,1.5452,106.796,0.0068,1.1438,279.7548,4.9144,25.4692,41.43419904
GV003,203,204,62,2,16201.23013,0.3342,1.432825,5.6356,23.8643125,0.14875,2.977175,2.72285,9.92425,3335.8045,91.467625,39.1145,1.936,2.52885,136.2915,556.82225,7.44665,34.3745,36.737875,711.6085,1194.5145,21.164625,83.708125,1.995375,285.108875,233.27125,70.199625,239.623625,27.342125,93.03175,1.1465,0.967875,0.120375,10.3445,33.934625,0.811,3.599,11689.5965,726.389625,934.95,70.268875,190.662,23.183375,8.455,15.7475,2.025,12.48775,2.452125,7.153875,0.8745,6.103,0.9335,7.20825,1.445875,101.52625,0.0045,1.17325,185.98925,2.6645,24.10575,37.84103452
GV003,204,205,62,2,18229.57513,0.32725,1.445225,5.5652,23.682775,0.125075,2.8555375,2.66735,9.4225,3171.560875,81.523625,39.447625,2.03475,2.7317125,106.646375,657.167125,7.7644125,31.24325,32.122625,485.558125,918.214,21.31175,79.917,2.051,283.178375,246.1135,67.45075,229.413,27.866625,64.872,0.991875,0.76575,0.12125,10.590375,33.818,0.6785,3.563,10006.38913,690.79125,925.2765,74.882125,205.29725,24.068375,7.5935,16.46175,2.072125,12.0555,2.377875,6.860625,0.81425,5.6645,0.8825,6.96475,1.380875,69.104875,0.00475,1.157375,183.26675,3.569875,22.971375,35.63201508
GV003,205,206,62,2,26992.00557,0.309714286,1.296742857,4.619371429,22.62805714,0.129271429,3.083471429,2.277314286,8.504714286,3010.857143,80.26314286,37.36771429,1.882142857,3.722557143,138.5044286,522.4007143,7.028171429,30.762,48.84328571,514.7844286,989.9984286,20.03971429,155.065,2.008285714,266.356,308.2052857,74.85542857,294.0672857,30.66085714,125.8575714,1.238428571,1.300428571,0.124571429,12.23471429,95.97242857,0.981714286,3.601714286,12007.20443,859.662,1052.884857,81.43142857,212.6698571,25.29671429,12.958,17.44385714,2.198285714,12.937,2.626857143,7.592285714,0.915857143,6.319714286,0.966714286,7.85,1.547142857,127.3065714,0.007,1.150142857,303.5512857,6.602428571,30.57271429,44.79813125
GV003,206,207,63,2,19456.23588,0.357175,1.5281375,5.6505625,24.95975,0.14055,2.4060125,2.702675,10.01175,3474.0215,91.363875,39.172,1.996857143,3.290428571,77.58,648.1514286,6.9241,29.44771429,26.46671429,416.8465714,664.4302857,20.86957143,93.34014286,2.088285714,280.7332857,292.3825714,73.15228571,289.289,29.40528571,90.24057143,1.015857143,0.633857143,0.120571429,11.27428571,38.77428571,0.762142857,3.602,12470.44657,721.9907143,932.2171429,75.08014286,205.6128571,25.308,9.505,17.33857143,2.169,12.78571429,2.578571429,7.454142857,0.910142857,6.206571429,0.969571429,7.838142857,1.496,94.33171429,0.005857143,1.150285714,231.266,4.537571429,25.10814286,37.00418978
GV003,207,208,63,2,16962.4268,0.38664,1.47049,5.63773,24.49464,0.14638,2.46129,2.66715,10.0328,3384.5743,89.913,39.12281818,1.938454545,3.224318182,127.105,608.8440909,7.236445455,29.875,36.62763636,579.7509091,953.0132727,20.42245455,95.14527273,2.085727273,273.1238182,288.5329091,73.11918182,279.4551818,29.97927273,99.69718182,0.995818182,0.957727273,0.123090909,11.68009091,43.30036364,0.826181818,3.651363636,12610.90873,814.1721818,1036.186455,81.45372727,215.7642727,26.04318182,10.05618182,17.87472727,2.215636364,12.87709091,2.521454545,7.354727273,0.883090909,6.063,0.945272727,7.627090909,1.500818182,99.49272727,0.006272727,1.162818182,298.4514545,4.465909091,27.37990909,40.11841134
GV003,208,209,63,2,21140.502,0.30371,1.22219,5.01124,21.50676,0.16569,3.49411,2.52468,8.0065,3041.0427,80.2508,40.3527,2.0472,3.50995,127.2883,1019.4872,7.54782,30.7937,39.0459,584.0772,1010.5405,21.1703,94.2333,2.1262,278.9144,260.4966,69.9449,239.9221,29.5153,102.3967,1.1812,0.9967,0.1248,12.3879,39.3644,0.835,3.6235,12434.5466,871.7211,1062.4015,83.4734,220.312,25.7726,11.5685,17.4361,2.1708,12.526,2.4197,7.0478,0.8349,5.7491,0.9103,7.1234,1.4759,97.5786,0.0068,1.1643,301.3626,4.7038,25.7264,39.81769719
GV003,209,210,63,2,19819.6544,0.3036,1.15718,4.55868,19.9231,0.15834,3.65926,2.29178,7.6436,2913.3814,81.6596,40.1322,2.0698,3.34132,150.4194,958.1572,7.3513,32.1632,44.5322,463.9542,1230.8738,20.8168,90.4416,2.144,280.7956,269.5588,71.0164,269.6574,28.6896,86.3418,0.8878,1.0788,0.122,11.301,48.2288,0.7774,3.5622,12855.6512,792.5732,994.359,77.4658,203.4278,24.9284,9.2068,17.3572,2.1528,12.5632,2.4618,7.1008,0.8554,5.9116,0.9266,7.6112,1.4888,84.7232,0.0064,1.1478,284.6752,4.8172,24.9672,37.12469318
GV003,210,211,64,2,19702.50525,0.4283125,1.311725,5.43245,23.2018,0.13855,3.2085125,2.61045,8.757625,3203.0015,84.61675,40.595,2.019375,3.369875,95.895625,820.017375,7.2101875,30.75075,31.368625,475.438875,753.643875,21.062375,93.913125,1.981,277.055125,265.383125,70.608625,263.093875,29.5695,89.483875,1.023,0.7775,0.122875,11.54525,38.8855,0.797125,3.555625,12098.13263,813.04575,1007.031125,78.742,209.559375,25.318125,10.59975,17.315125,2.148875,12.5105,2.433625,7.151,0.8495,5.891,0.91025,7.452125,1.486,92.282875,0.006625,1.143875,295.65325,4.735875,24.7265,37.74850089
GV003,211,212,64,2,23338.24663,0.3182375,1.2707375,4.9329125,22.8473125,0.1456625,3.3461875,2.4631125,8.2875,3007.824625,82.90675,42.54325,2.02675,3.636725,122.07125,2945.0785,7.4171,34.559125,44.190875,529.106625,866.094875,20.89925,119.987,2.276625,268.591125,304.555875,69.9995,271.292625,31.31175,115.206125,0.930125,1.0915,0.134375,12.560125,57.84325,0.953375,3.581625,14084.41425,829.2065,984.52675,74.605625,190.018625,23.798375,11.467375,16.794875,2.064125,12.167125,2.34925,7.0355,0.83025,5.709375,0.909,7.61525,1.514625,114.041125,0.010125,1.122625,319.082375,5.64575,29.160125,39.72864828
GV003,212,213,64,2,21334.32325,0.3439875,1.1309875,5.1279125,21.6826875,0.121625,3.430725,2.5012125,7.34775,2938.50775,76.8375,40.47625,2.12275,3.5072125,117.29075,1948.756125,7.1478375,33.242125,40.5125,564.333875,924.18625,20.844375,110.6945,2.148875,276.6545,273.942375,71.4395,262.1415,28.793,103.92225,1.100875,0.978,0.128,12.257625,60.1995,0.8345,3.61975,14384.41975,808.942625,946.819,73.624375,195.755125,24.139625,10.36325,16.931375,2.1165,12.590875,2.46825,7.318625,0.869875,5.95525,0.9425,7.478125,1.499875,101.841125,0.008375,1.131125,304.88925,5.261375,26.5915,38.58909125
GV003,213,214,65,2,18393.40083,0.3318,1.5086,5.860966667,25.12881667,0.13765,2.424833333,2.837883333,10.11683333,3330.203333,92.971,38.78616667,1.940666667,2.868116667,92.30566667,709.344,7.10115,28.33433333,26.9655,359.798,816.4731667,20.80416667,98.56666667,2.134333333,284.4875,276.444,70.59283333,279.2351667,27.6485,100.7341667,0.983666667,0.747,0.119,11.2085,42.071,0.798833333,3.608,14978.14917,702.0351667,899.5396667,70.24683333,191.7461667,23.86166667,8.452666667,16.14633333,2.072166667,12.53833333,2.4705,7.260333333,0.872,6.053333333,0.9295,7.541166667,1.472333333,96.25266667,0.005833333,1.156666667,200.3745,3.658666667,25.93683333,36.22302406
GV003,214,215,65,2,19310.99338,0.348025,1.505575,5.5240375,24.674475,0.1618625,2.4411625,2.7380375,10.032875,3414.10125,86.797,35.156875,2.01575,3.024025,83.462875,667.401375,7.2545,27.374875,28.866875,445.662625,696.099,20.950125,90.36775,2.070125,282.1855,253.1085,70.149125,293.102375,29.314125,75.67725,0.799,0.741375,0.115875,10.687625,39.09825,0.702,3.529,11123.01113,693.77375,896.492125,72.633125,190.4705,24.13425,8.44125,16.848375,2.119875,12.45825,2.416875,7.142375,0.852375,6.013,0.930125,7.792125,1.46175,75.202125,0.00575,1.13625,192.716875,4.179,24.7345,34.44955215
GV003,215,216,65,2,18324.7455,0.32725,1.576225,6.051975,25.511025,0.1493125,2.349175,2.8800375,10.467,3636.851875,88.60225,37.733375,2.02225,2.8331,63.20575,600.358125,7.11495,28.333625,25.082875,353.1245,574.888125,21.121625,83.218625,2.1795,290.750875,264.590375,70.4995,279.533,27.785,79.34125,0.93975,0.6355,0.112125,10.492125,35.502375,0.759625,3.5715,13098.2735,703.0325,921.385375,72.33625,192.5345,24.414,8.334875,16.4435,2.07925,12.554875,2.4995,7.347875,0.89025,6.07775,0.937,7.651625,1.447875,78.733,0.005375,1.166375,129.647375,3.2755,24.968625,34.3031324
GV003,216,217,65,2,18056.93914,0.400442857,1.537528571,5.850842857,25.58732857,0.140457143,2.525842857,2.812271429,10.30285714,3598.427429,91.99314286,38.50514286,2.057857143,3.260657143,69.66814286,612.9341429,7.052528571,28.618,22.70585714,404.3431429,649.869,20.63614286,76.16257143,2.185714286,289.6487143,271.951,70.19328571,258.7698571,28.71257143,100.4248571,1.160428571,0.545571429,0.119,11.64828571,32.50042857,0.814285714,3.638857143,14091.70243,825.8217143,1041.216286,82.58928571,225.4202857,26.08457143,9.538714286,17.53342857,2.181571429,12.53971429,2.411571429,7.074571429,0.849,5.899,0.925285714,7.332,1.449571429,90.86071429,0.006714286,1.171142857,137.4571429,4.011857143,23.78642857,37.80136968
GV003,217,218,66,2,17697.01613,0.345275,1.3485,5.0052,23.0075,0.1269875,2.9078125,2.3941875,8.78,3096.35625,85.663375,37.3005,2.00775,2.8529125,84.909875,661.68775,7.0747,27.895875,24.652875,429.390125,726.234625,20.4535,90.340375,2.168625,283.288625,251.243375,72.119,286.056375,28.197625,86.399625,0.92225,0.6005,0.117875,10.9435,39.448875,0.71975,3.608125,12776.7,718.5365,948.26275,77.593875,210.36875,25.797625,9.129625,17.93825,2.215,12.90875,2.517375,7.378375,0.89,6.147875,0.94825,7.766875,1.44875,74.795,0.0065,1.139,180.332625,4.077375,25.893125,32.90847408
GV003,218,219,66,2,18223.62725,0.3330625,1.44345,5.61085,23.5916125,0.1226625,2.89495,2.6983625,9.152,3289.41575,84.743,38.898375,2.105625,2.933125,95.1755,954.655625,7.2789,29.42225,27.876875,449.583,841.511625,21.136125,79.4415,2.20625,287.05825,263.364125,67.77025,298.647,27.092625,76.9225,1.0415,0.73175,0.118875,11.228625,34.0845,0.766125,3.62425,13255.34963,784.32825,978.058625,74.4915,198.929125,23.804,8.858625,16.086,2.06525,12.194625,2.398625,6.969125,0.8255,5.804375,0.894625,7.983375,1.427125,79.67325,0.006375,1.155375,185.76575,3.449,23.137625,36.91914708
